                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2448,                 3.9037,                 3.2341,                 1.4719,                0.02395,                 0.6092,                0.14874,                0.05537,                  0.016,                0.43167,                0.04383,                0.01943,                0.91583,                  2.779,                 3.1089,                 1.2458,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.0628,                 3.2344,                 3.1343,                 1.3383,                0.02522,                 0.6622,                0.23889,                 0.1489,                0.02445,                0.62516,                 0.1711,                0.11113,                0.63344,                  2.012,                 3.0089,                0.95792,              8.302e-05,              8.302e-05,              8.302e-05
                      3,                0.97156,                  2.605,                 2.9556,                 1.2055,                 0.0219,                 0.6622,                0.27742,                0.20114,                0.02027,                0.60792,                0.17424,                0.10578,                0.51127,                 1.7636,                   2.93,                0.83969,              0.0001323,              0.0001323,              0.0001323
                      4,                 0.7771,                 2.0593,                 2.6014,                 1.0696,                0.02104,                 0.6622,                 0.2658,                0.19406,                0.02056,                0.64368,                0.23052,                0.14047,                0.57796,                 1.6161,                 2.8679,                 0.8396,             0.00018119,             0.00018119,             0.00018119
                      5,                0.80329,                 1.9759,                  2.314,                   1.05,                0.02141,                0.67944,                0.29066,                0.20926,                0.01978,                0.62516,                0.23854,                0.14153,                0.60558,                 1.6738,                 2.7509,                0.85809,             0.00022968,             0.00022968,             0.00022968
                      6,                0.79724,                 1.8181,                 1.9581,                 1.0862,                0.05434,                0.57216,                0.29573,                0.20838,                0.01959,                0.62516,                0.18754,                0.11656,                0.64588,                 2.1643,                 2.6605,                0.90359,             0.00027778,             0.00027778,             0.00027778
                      7,                0.80777,                  1.951,                 1.9331,                 1.0373,                0.76078,                0.15517,                0.33901,                0.26305,                 0.7318,                0.13793,                0.23544,                0.16752,                0.63806,                 2.1324,                 2.5626,                0.86988,             0.00032548,             0.00032548,             0.00032548
                      8,                0.79122,                 1.8291,                 1.7453,                 1.0681,                0.87014,                 0.1478,                0.34681,                0.27071,                0.87014,                 0.1478,                0.28726,                0.18799,                0.62155,                 1.7255,                 2.5112,                 0.8481,             0.00037278,             0.00037278,             0.00037278
                      9,                0.79344,                  1.726,                 1.6216,                 1.0405,                0.46869,                 0.1867,                0.31771,                0.24495,                0.43942,                0.16946,                0.25263,                0.18291,                0.64484,                 1.5806,                 2.4205,                0.88124,             0.00041969,             0.00041969,             0.00041969
                     10,                0.79749,                 1.7395,                 1.5302,                 1.0385,                 0.4007,                0.24393,                 0.3122,                0.24416,                 0.4007,                0.24393,                0.26637,                 0.1792,                0.65964,                 1.5811,                 2.3075,                0.89106,              0.0004662,              0.0004662,              0.0004662
                     11,                0.80347,                 1.7415,                 1.5024,                 1.0692,                0.39681,                0.31801,                0.33031,                 0.2502,                 0.3695,                0.29949,                 0.2866,                0.18401,                0.68908,                 1.8173,                  2.173,                 0.9168,             0.00051232,             0.00051232,             0.00051232
                     12,                0.71834,                 1.4738,                 1.3209,                 1.0133,                0.38416,                0.33042,                0.32979,                0.25271,                0.36679,                0.28097,                0.28879,                0.21575,                0.68708,                 2.0018,                 2.1821,                 0.9312,             0.00055803,             0.00055803,             0.00055803
                     13,                0.74809,                 1.5454,                 1.3386,                 1.0315,                0.47793,                0.33653,                0.31439,                0.24473,                0.48103,                0.32929,                0.29604,                0.20726,                0.74744,                 2.1332,                 2.1848,                0.98451,             0.00060336,             0.00060336,             0.00060336
                     14,                0.76926,                 1.5003,                 1.2205,                 1.0496,                  0.444,                0.31801,                0.32487,                0.24944,                0.43567,                0.29949,                0.29058,                0.19567,                0.75584,                 2.1965,                  2.113,                 1.0169,             0.00064828,             0.00064828,             0.00064828
                     15,                0.78102,                 1.5871,                 1.2145,                 1.0456,                0.41137,                0.28253,                0.34361,                0.25173,                0.42467,                0.28097,                0.30718,                0.21464,                0.78695,                 2.5585,                 2.0953,                 1.0407,             0.00069282,             0.00069282,             0.00069282
                     16,                0.74942,                 1.4256,                 1.0806,                 1.0092,                0.23552,                0.31673,                0.33982,                0.23945,                0.36425,                0.28097,                0.29094,                0.19232,                 0.8255,                 2.7368,                 2.2225,                 1.0433,             0.00073695,             0.00073695,             0.00073695
                     17,                0.74031,                  1.501,                 1.3016,                 1.0294,                0.31058,                0.31673,                0.30896,                0.22931,                0.34733,                0.31285,                0.28403,                0.18136,                0.87798,                 2.7391,                 2.4961,                 1.0458,             0.00078069,             0.00078069,             0.00078069
                     18,                0.64993,                 1.2514,                 1.0308,                0.97882,                0.81315,                0.18966,                0.34753,                0.25442,                0.81315,                0.18966,                0.33332,                0.20718,                0.90281,                 2.5533,                 2.6779,                 1.1015,             0.00082403,             0.00082403,             0.00082403
                     19,                0.71602,                 1.3667,                 1.1047,                 1.0081,                0.84513,                0.18966,                 0.3358,                0.22718,                0.77207,                0.18966,                0.30482,                0.18645,                0.90842,                 2.7303,                 2.6531,                 1.1361,             0.00086698,             0.00086698,             0.00086698
                     20,                0.75196,                 1.5677,                 1.1282,                 1.0005,                0.41184,                0.30689,                0.28524,                0.21027,                0.81212,                0.15517,                0.22938,                 0.1427,                0.95041,                 3.4589,                  2.445,                 1.1456,             0.00090953,             0.00090953,             0.00090953
                     21,                0.69433,                 1.3988,                 1.0957,                0.99989,                 0.4783,                0.26228,                0.31336,                0.21118,                0.82225,                0.13793,                0.21704,                0.13598,                 1.0545,                 4.3709,                 2.2552,                 1.2055,             0.00095168,             0.00095168,             0.00095168
                     22,                0.70672,                 1.4082,                 1.0411,                 1.0138,                0.83347,                0.21468,                0.34872,                0.23319,                0.78364,                0.16118,                 0.2477,                0.14046,                0.95322,                 4.0676,                 2.1045,                 1.1142,             0.00099344,             0.00099344,             0.00099344
                     23,                0.65716,                  1.195,                0.96081,                0.97314,                0.51089,                0.24521,                0.31158,                0.21434,                0.25168,                0.24777,                0.21538,                0.12932,                 1.0163,                 4.0839,                 2.1594,                  1.195,              0.0010348,              0.0010348,              0.0010348
                     24,                0.69356,                 1.1526,                0.98409,                0.98552,                0.40938,                0.28225,                0.29313,                0.21849,                0.39935,                0.28225,                0.25085,                0.14059,                0.95443,                 3.6782,                 2.2021,                 1.1454,              0.0010758,              0.0010758,              0.0010758
                     25,                0.67687,                 1.1864,                0.94694,                0.97531,                0.43655,                0.27172,                0.30958,                0.23543,                0.43655,                0.27172,                0.27594,                0.16802,                0.94983,                 3.3272,                 2.1404,                 1.1439,              0.0011163,              0.0011163,              0.0011163
                     26,                0.70769,                 1.2561,                0.92795,                0.98295,                0.53217,                0.29949,                0.32288,                0.23135,                0.53217,                0.29949,                0.29809,                0.19229,                0.91963,                 3.1111,                 2.1624,                 1.0973,              0.0011565,              0.0011565,              0.0011565
                     27,                0.71368,                 1.2878,                0.97676,                   0.99,                0.43188,                0.30136,                0.30492,                0.20186,                0.30168,                0.22821,                0.23448,                0.13768,                  1.082,                 3.3668,                  2.378,                 1.2263,              0.0011963,              0.0011963,              0.0011963
                     28,                0.69773,                 1.2286,                0.95222,                0.97428,                0.44111,                0.33138,                0.31574,                0.21576,                0.29434,                0.26212,                0.23333,                0.13284,                0.97937,                 3.4471,                 2.2456,                  1.132,              0.0012357,              0.0012357,              0.0012357
                     29,                0.68688,                  1.262,                0.91219,                0.95669,                0.44111,                0.33138,                0.31574,                0.21576,                0.29434,                0.26212,                0.23333,                0.13284,                0.97937,                 3.4471,                 2.2456,                  1.132,              0.0012747,              0.0012747,              0.0012747
                     30,                 0.6589,                 1.3685,                0.92997,                0.98031,                0.52571,                 0.4003,                0.35535,                0.25862,                0.44139,                0.34573,                0.26605,                0.13432,                 1.0061,                 3.7697,                 2.0656,                 1.1696,              0.0013132,              0.0013132,              0.0013132
                     31,                 0.7379,                 1.4513,                0.99767,                 1.0035,                 0.6165,                0.37229,                0.37512,                0.27327,                0.55219,                 0.3378,                0.27854,                0.13267,                0.96174,                 3.8338,                 2.0514,                 1.1561,              0.0013514,              0.0013514,              0.0013514
                     32,                0.77314,                  1.617,                  1.017,                 1.0282,                0.52095,                0.37356,                0.35042,                0.24168,                 0.3714,                0.26756,                0.17861,                 0.0831,                0.87227,                 4.2628,                 2.0825,                 1.1077,              0.0013892,              0.0013892,              0.0013892
                     33,                0.71805,                 1.3333,                0.95034,                0.98897,                0.52095,                0.37356,                0.35042,                0.24168,                 0.3714,                0.26756,                0.17861,                 0.0831,                0.87227,                 4.2628,                 2.0825,                 1.1077,              0.0014266,              0.0014266,              0.0014266
                     34,                0.67097,                 1.2718,                0.95101,                0.98332,                0.41294,                0.42784,                0.31117,                0.21971,                0.34346,                0.35632,                0.24234,                0.11123,                0.86105,                 3.4241,                 2.1036,                 1.0941,              0.0014492,              0.0014492,              0.0014492
                     35,                0.69275,                  1.394,                0.95565,                0.98835,                0.42907,                0.42401,                0.36302,                0.24742,                0.43376,                0.36973,                0.31883,                0.16813,                0.97364,                 3.2036,                 1.9256,                 1.1784,              0.0014426,              0.0014426,              0.0014426
                     36,                0.69425,                 1.2349,                0.91841,                 0.9754,                0.48877,                0.38953,                0.39696,                0.26869,                0.48047,                0.31673,                0.34387,                0.18538,                0.95755,                 3.0665,                 1.8045,                 1.1704,               0.001436,               0.001436,               0.001436
                     37,                0.66502,                 1.3084,                 0.9484,                0.97416,                0.48877,                0.38953,                0.39696,                0.26869,                0.48047,                0.31673,                0.34387,                0.18538,                0.95755,                 3.0665,                 1.8045,                 1.1704,              0.0014294,              0.0014294,              0.0014294
                     38,                0.62962,                 1.2021,                 0.8618,                 0.9715,                0.60454,                0.34758,                0.40857,                 0.3336,                0.35252,                0.39411,                0.34011,                 0.1811,                0.83061,                 3.2923,                 1.7669,                 1.0781,              0.0014228,              0.0014228,              0.0014228
                     39,                0.64571,                 1.2846,                0.91656,                 0.9857,                 0.7581,                0.40932,                0.46929,                0.39276,                0.67385,                0.37229,                0.38312,                0.23881,                  0.705,                 3.0625,                 1.6311,                0.97416,              0.0014161,              0.0014161,              0.0014161
                     40,                0.69437,                 1.2233,                0.87881,                0.99092,                0.59471,                0.40932,                  0.448,                0.33897,                0.55923,                0.35377,                0.36008,                0.21359,                0.82652,                 3.8784,                 1.9003,                 1.1112,              0.0014095,              0.0014095,              0.0014095
                     41,                0.64548,                 1.2215,                0.87182,                0.98857,                0.59471,                0.40932,                  0.448,                0.33897,                0.55923,                0.35377,                0.36008,                0.21359,                0.82652,                 3.8784,                 1.9003,                 1.1112,              0.0014029,              0.0014029,              0.0014029
                     42,                0.67569,                 1.2323,                0.89166,                  1.006,                0.78931,                0.31928,                0.41399,                0.31344,                0.43468,                0.33653,                0.31685,                0.19813,                0.78802,                 4.8941,                 1.9231,                  1.064,              0.0013963,              0.0013963,              0.0013963
                     43,                0.65672,                  1.078,                0.88724,                0.97302,                0.51459,                 0.4106,                0.41118,                0.34652,                0.56096,                0.31928,                0.32394,                0.18847,                0.71357,                 5.1629,                 1.7301,                0.94712,              0.0013897,              0.0013897,              0.0013897
                     44,                0.64007,                 1.1139,                0.81855,                0.97583,                0.62757,                0.42032,                0.43684,                 0.3552,                0.57154,                0.38493,                0.37296,                0.19594,                 0.6689,                 4.6479,                 1.6457,                0.91386,              0.0013831,              0.0013831,              0.0013831
                     45,                0.65467,                 1.1695,                 0.8402,                0.97768,                0.62757,                0.42032,                0.43684,                 0.3552,                0.57154,                0.38493,                0.37296,                0.19594,                 0.6689,                 4.6479,                 1.6457,                0.91386,              0.0013765,              0.0013765,              0.0013765
                     46,                0.61597,                 1.0238,                0.85713,                0.95436,                0.66284,                0.39208,                0.42906,                0.35319,                0.52008,                0.38918,                0.38995,                0.23726,                0.66572,                 3.4469,                 1.6024,                0.93995,              0.0013699,              0.0013699,              0.0013699
                     47,                0.60476,                 1.0868,                0.80517,                0.95577,                 0.6101,                0.39515,                0.43514,                0.34766,                0.58514,                0.37733,                 0.3972,                0.27577,                0.76165,                 3.2415,                 1.6887,                 1.0221,              0.0013633,              0.0013633,              0.0013633
                     48,                0.66346,                 1.1501,                0.84768,                0.97081,                0.56514,                0.44764,                 0.4155,                0.34259,                 0.5323,                 0.4106,                 0.3871,                 0.2742,                0.82708,                 2.8686,                 1.7021,                  1.062,              0.0013567,              0.0013567,              0.0013567
                     49,                0.64996,                 1.0434,                0.79217,                0.96074,                0.56514,                0.44764,                 0.4155,                0.34259,                 0.5323,                 0.4106,                 0.3871,                 0.2742,                0.82708,                 2.8686,                 1.7021,                  1.062,              0.0013501,              0.0013501,              0.0013501
                     50,                0.68433,                 1.1216,                0.81435,                0.98175,                0.74571,                 0.3331,                0.41309,                0.32898,                0.71841,                0.31459,                0.38723,                0.28844,                0.78983,                 2.4578,                 1.7146,                 1.0134,              0.0013435,              0.0013435,              0.0013435
                     51,                0.66946,                 1.1781,                0.80049,                0.93362,                0.55441,                0.37356,                 0.4174,                0.29593,                0.53009,                0.35504,                0.39362,                0.28874,                0.89651,                 2.3179,                 1.7323,                 1.0668,              0.0013369,              0.0013369,              0.0013369
                     52,                0.67727,                 1.0635,                0.81336,                0.97381,                0.62102,                 0.3908,                0.42828,                0.32251,                0.59543,                0.37229,                0.40245,                0.30149,                0.83879,                 2.0414,                 1.6588,                 1.0571,              0.0013303,              0.0013303,              0.0013303
                     53,                0.64255,                  1.039,                0.79055,                0.97651,                0.62102,                 0.3908,                0.42828,                0.32251,                0.59543,                0.37229,                0.40245,                0.30149,                0.83879,                 2.0414,                 1.6588,                 1.0571,              0.0013237,              0.0013237,              0.0013237
